document_ID,cs_textrec_ID,page,text,OCMs,Combined
fo04-002,239,137,"Sexual experimentation is certainly a major element in the elima , but it is combined with a very definite move to widen the social horizons of the girls, and to direct their attentions into what the parental and grandparental generations consider proper directions. There are also certain rules about intercourse in the elima hut. The senior girls, or instructors, and the “mother” guide the bamelima in all this. Their decisions are never questioned, and never discussed by the rest of the band. It is not until the latter stages of the festival that the parental generation takes an active part in the proceedings.","Premarital sex relations (836)
Sex training (864)
Transmission of cultural norms (867)
Puberty and initiation (881)",no
fo04-002,240,170,"Some activities are purely recreational, such as spinning tops made of nut sections, and gambling with dried seeds thrown on the ground to make up a total number that is a multiple of four. Others are educational, and in particular the honey swing is for training youngsters in agility at heights, as are the informal contests at climbing dangling vines. The honey swing is suspended from two high branches, so that it has a long, powerful are. The youths line up and one jumps into the bend of the vine that forms the seat and sets the swing in motion. As the swing moves backwards, a youth runs forward, catching onto the side of the vine, giving it added momentum. As it carries him off the ground, he throws his legs forward and up over his head and into the swing just as the previous occupant jumps to the ground.","Annual cycle (221)
Collecting (222)
Games (524)
Gambling (525)
Transmission of skills (868)",no
fx10-065,241,67,"Grandparents, particularly on the mother's side, are very fond of adopting a grandchild. They will half adopt one, even during both parents' lifetime. The grandmother is generally the person who teaches a child to speak.","Adoption (597)
Grandparents and grandchildren (603)
Transmission of skills (868)",no
fx10-052,242,344,"Perhaps verbal transmission of information is indirect, through people telling the story of their day's excursion as opposed to direct lecturing of old by young. Thus, as with (3) above, knowledge may [Page [p. 345]] be acquired mainly “out of context,” in the relaxed social setting of the early evening, but it is then available when needed. One wonders if the trade-off for the rather patchy nature of the knowledge transmitted is a greater efficiency in the “filing” and retrieval of information stored in a system of the subject's own construction. This system is put to use when the subject wants to listen and when the story teller's art gives many pegs on which to hang the information, and is quite different from one where he would try to store in his head someone else's data filed on that person's system.","Ethnopsychology (828)
Transmission of skills (868)",no
fx10-008,243,89,"Little girls, while still with their mothers, are taught to love and respect the old woman and to seek her company of their own accord. After taking up residence with her they accompany her daily into the veld and thus gradually come to learn from her all the duties which will ultimately devolve upon them. Boys sleep under the tree in the centre of the camp at night or in a hut specially set apart for them. Each morning they accompany their fathers into the veld. At first they are given little bows and wooden arrows with which to amuse themselves. Towards the eighth or ninth year each is provided by his father with a proper how and three arrows which, however, are not poisoned. With these he is allowed to shoot hares, guinea fowl and other birds, wild cats, small buck, etc. After killing his first steenbuek or duiker he is given a few poisoned arrows and later, when he has become proficient in the use of these, he is taught to stalk and shoot big game. By the time he reaches the age of puberty he has, as a rule, gained a very good knowledge of veld craft.","Childhood activities (857)
Transmission of skills (868)",no
fx10-029,244,73,"The plants of the veld are still fairly important, economically, to the farm Bushmen. Throughout the year women go out on sporadic gathering trips that last from a few days to a few weeks since this economic task is accompanied with the social one of visiting friends and kinsmen. Some plants are especially important—the tsi bean or moramma nut (Bauhinia esculanta) which grows abundantly in the district, and the raisin berry (Grewia sp.) which is used for beer making. Collecting veldkos is thus still an economic practice of importance to the farm Bushmen. Moreover, it is an activity which women deem an important skill expertise in which is lauded (for example, the ability to identify many plants). Farm women still teach their daughters extensive plant lore and will sometimes take them along on gathering excursions. The importance of gathering is reflected from the extensive list of plants (Table 4, which is an account of all of the food plants that six interviewed farm women claimed ","Collecting (222)
Status, role, and prestige (554)
Visiting and hospitality (574)
Ethnobotany (824)
Transmission of skills (868)",no
fx10-051,245,289,"One of the most striking things about !Kung education for !kia is that it is very much a normal process of socialization. Every male tries to become a master of n/um, though he may try more or less hard. Many years before a person seriously tries to become a n/um master, he is playing with !kia. A group of five- and six-year-olds may perform a small !kia dance, imitating the structure of the dance, the dance steps, and the !kia gestures, at times falling as if in !kia. Through play, the child is modeling; as he grows up, he is learning about !kia.","Revelation and divination (787)
Transmission of skills (868)",no
fx10-033,246,298,"While attachment has important immediate adaptive dividends, it has some long-range ones as well, because it functions to maintain proximity with effective models of subsistence and reproductive behaviour. By the end of the first year (within a few months after attachment itself develops), well-differentiated, deferred imitation (Piaget, 1962) of the elementary components [Page 299] of adult subsistence activities appears (pounding with a mortar and pestle, digging with a digging stick, and others), as does the imitation of singing, clapping and dancing. Adults delight in these early accomplishments, and spend much time trying to encourage and re-elicit them. Infants under a year of age may be encouraged to inspect and chase after, and even bite, large insects, which they gladly do.","Theoretical orientation in research and its results (121)
Development and maturation (856)
Transmission of skills (868)",no
fx10-003,247,53,"Matters are certainly not always as hopeless as Vedder describes them. First of all, at a very early age the children are given pre-chewed veldkost, and, secondly, the women of the kin group help one another out with the breast feeding. During the day the infant stays in a hide sack on the mother's back, and at night the children sleep at the mother's breast; the smallest lies directly at the breast, while during the cold season the others cuddle around the mother's legs. From earliest childhood, the children are taught to honor the old people and not to take anything away from anyone. For the boys, the father soon carves a bow and arrow, for the girls a little digging stick. Nothing is said to little children when they take things, but once the boy has been given a bow, he may not touch anyone else's bow and arrow; otherwise he gets a beating. The boys greatly fear the women. The bigger boys stay together by themselves and go hunting for small game or accompany adults on the hunt for large game.","Infant feeding (853)
Infant care (854)
Childhood activities (857)
Transmission of cultural norms (867)
Transmission of skills (868)",no
fx10-003,248,56,"“On this occasion the boys are told how they must conduct themselves when they go out to seek a wife, and how they must behave towards a mother-in-law. To sit down by an evening fire next to an adult girl is tantamount to a marriage proposal, even if not a word is spoken. Under no circumstances may one look at the mother-in-law. They also practice animal dances in the bush, the kind that are performed by the men later at joyous celebrations, and also in times of distress. Finally, the young Bushman receives the tribal marking, a number of skin incisions on the cheek below the temple. Each tribe has a certain number of skin incisions. In order to make them stand out clearly even after healing, pulverized charcoal is put into the incisions. As a result, the tribal marking later looks like a black streak on the yellow skin.","Body alterations (304)
Paint and dye manufacture (386)
Arranging a marriage (584)
Parents-in-law and children-in-law (606)
Transmission of cultural norms (867)
Puberty and initiation (881)",no
fx10-018,249,236,"!Kung children, male or female, are not pressed into service in the food quest at an early age. They are not expected to provide food in significant quantities until they are well into their teens. Learning to hunt, therefore, is largely a play activity for the boys, and they receive little formal instruction from older men until they are about 12 years old. Play hunting can begin as early as age 3. Older children make a little bow of wood and twine, with arrows of grass stems, and teach the toddler to shoot it, aiming first at still targets a few inches away and graduating to moving targets such as the ubiquitous dung beetle. Little girls participate in these games too, and frequently a play group of four to six kids pretends to cut up, cook, and serve an imaginary animal in the same way that North American children have an imaginary tea party. As the boys grow older, they graduate from shooting dung beetles and grasshoppers to shooting small birds such as waxbills. These tiny birds, related to the sparrows and finches and weighing a few grams, are plucked and may be cooked and eaten by little boys and girls. In the age range 9 to 12 other games are played, now exclusively by boys, that teach hunting skills and that may include adolescent males as well. N/ebi is a kind of javelin toss played by a number of boys: Each throws a light wand and bounces it off the ground to see who can throw it the farthest. /N!au (“spear”) is a target-practice game in which a rough wooden spear with a ball of padding at the end is hurled back and forth between two teams of boys to see whose aim is the most accurate. The main tracking skills, however, are acquired through the on-going study of nature as the young boys and girls learn to identify the hundreds of plants and animals in their environment. Studying animal tracks is a major pastime of the older boys.
Around age 12 a boy starts accompanying his father, uncles, or older brothers on hunts. Within a couple of years his father makes him his first quiver set, with unpoisoned bone and metal arrows and a scaled-down quiver and bow. The boy becomes more active in shooting, with mongeese, genets, hares, and game birds as the main targets; during the winter months the young adolescent boy also builds snarelines, often under the guidance of his father or grandfather. The assumption of adult status as a hunter comes with the first successful killing of an antelope, such as kudu or gemsbok, from the list of big game species (excluding [Page [p. 237]] [Page 238] warthog). The animal can be male or female and must be mature or nearly so and killed with a poisoned arrow. If these conditions are met, the first buck ceremony is held, an extremely important milestone in the life of a hunter. In the Dobe area of today the first buck ceremony is often delayed for years. To achieve the killing of the first antelope requires diligence and concentration on hunting. These are hard to combine with the demands of working on the Bantu cattle posts, and as a result a man may be 25 or 30 before he kills his first buck. In /Du/da, where no cattle posts are present, we found a situation that probably resembled the more traditional picture: adolescent boys 15 to 22 working hard at hunting and bringing in their first bucks by age 15 to 18.","Childhood activities (857)
Descriptive somatology (142)
Body alterations (304)
Puberty and initiation (881)
Adulthood (885)
Transmission of skills (868)",yes
fx10-011,250,41,"Averaged over a year, women gather on four or five days of each week—the number of days depending
[Page [p. 42]] on the season. In the long days of wilting between the October spring and the January summer, food is scarce and the women may go out every day into the failing veld, leaving their werft early in the morning and returning late in the afternoon. All that a woman gathers belongs to her alone, and of course is shared with her family. She feeds her husband, her children and often a visitor or two, at her own hearth. No formal instruction is practiced among the !Kung, with the possible exception of certain kinds of religious teaching and what might be called an occasional hunting school. Learning to gather comes from the children's observation of the more experienced women. Girls soon learn to recognize more than a hundred kinds of edible plants that grow in Nyae Nyae, as well as the seasons and places in which these plants grow. They learn to see tiny, shriveled root vines coiled around thorns in the thickets and, in the process, develop fine powers of observation. Possibly complementary to this lack of formal instruction, no formal pressure is exerted on young people to take up adult roles. Girls, if they wish, accompany their mothers on gathering trips. If they do not, they rarely feel guilty. A girl usually begins to feel responsible soon after she marries, which is often before puberty. But only when she has children of her own does a woman see the world through the eyes of a provider.","Collecting (222)
Property in movables (422)
Labor and leisure (461)
Regulation of marriage (582)
Family relationships (593)
Ethnobotany (824)
Childhood activities (857)
Transmission of skills (868)",no
fx10-015,251,264,"Within the frame of protectiveness the parents are very permissive and make few, if any, demands on their children. With no houses and few utensils, there are not many household tasks to assign. Children are not sent off alone to do any of the daily work of fetching water or wood or gathering veldkos. Although lions, leopards, and hyenas tend to mind their own business, they are present in the country and share the water holes with the Bushmen. Poisonous snakes are a very real danger. Furthermore, as the hunters say, it takes a lifetime to learn the country well enough not to be easily lost in the featureless grass and brush. The adults do not let their children out of their sight. In their parents' presence the children imitate adult activities in vital, active play, very engaging to watch, and participate in actual work as they are able. The adults pause to show them how to hold a digging stick, or a toy bow or drill, so that play and learning merge.","Fauna (136)
Child care (855)
Childhood activities (857)
Transmission of skills (868)",no
fx10-017,252,"95, 96","Their training in botany, like all !Kung training, is gained by participation and observation, not by formal schooling, and not apart from doing. It begins in early childhood. Mothers always carry their nursing [Page 96] infants and young children with them on a gathering day. Visual impressions are implanted in the children. When the children can walk, they play at digging and picking and carrying the food in imitation of their mothers. They may also receive a little teaching.

An image of Di!ai with her two-year-old son, /Gaishay, comes to my mind when I think of this aspect of !Kung life. He was riding on her shoulder while she scanned the ground for signs of a root. When she saw the thread of vine in the grass that told her that a root lay below, she set him on his feet beside her, took the vine in her hand to show him, and began to dig. He held onto her and peered into the hole. When she pulled out the root, she held it out for him to see and told him its name. “/Dobi,” she said, “/dobi.”","Ethnobotany (824)
Transmission of skills (868)
Collecting (222)",yes
fx10-005,253,19,"The joking relationship is an important element in !Kung culture. It is in the foreground of people's minds. The !Kung never once mentioned the generational aspect of their kin terminology system but whenever kinship matters were discussed they spoke of the joking relationship. The !Kung do not train their children to know the precise genealogical position of collaterals,1 but they teach them the term to use and the joking status of the term. Sometimes an informant would not know whether, for instance, a relative he termed tsu was his FaBr, his MoBr or who, but would say that his parents taught him to use that term for the relative and that he must not joke with him.","Kinship terminology (601)
Kin relationships (602)
Transmission of cultural norms (867)",no
fx10-026,254,107,"Because of the small number of families, village play groups are typically made up of only a few children of various ages—whoever happens to be living in the village at a given time. These groups, which may range in age from infants to young teens, usually stay around the village in the vicinity of adults or set up their own “villages” a few hundred yards away—within earshot, but not within view. Many of their games are imitations of adult activities: hunting, gathering, singing and trancing, playing house, and playing at parenthood and marriage. (Little children, carried about by older children, often become the “sons and daughters” of these “mothers and fathers.”) Occasionally their imitations become reality—foraging roots and berries in the [Page 108] area just beyond the village, or even catching or trapping small animals and birds. Because little formal teaching is done—observation and practice are the basis of all learning—it is in these groups that children acquire many of the skills that will make them productive adults.","Childhood activities (857)
Transmission of skills (868)",no
fx10-026,255,298,"A girl's first exposure to altered states of consciousness may occur when she is as young as eight years old, when her mother feeds her small quantities of gwa, a purportedly psychoactive root. This training tapers off with the approach of motherhood, because n/um is thought harmful to fetuses and young children. If the woman's spiritual education, halted in its (as well as her) infancy, does resume, it is likely to be only when she is in her forties, after her last child has grown. By this time, male healers [Page 299] of the same age, having learned their skills when they were still young, physically strong, and more adaptable, have long since become accomplished.","Gender status (562)
Shamans and psychotherapists (756)
Revelation and divination (787)
Transmission of beliefs (869)",no
fx10-030,256,151,"When the tattooing is completed, the girl's mother takes her by the [Page 152] hand and gently leads her out of the seclusion hut. She holds to her daughter's forehead one after another of the food plants available at the time, pronounces the name of the plant and tells her daughter its uses and virtues. Then, stretching her arm out and pointing around the horizon, she introduces the band territory to her daughter. “This is the country of all of us, and of you; you will always find food here” (which also has the connotation of “you will always be at home here”). The girls and young women in attendance then run the girl through a symbolic shower of rain, which, apart from being intended to ensure that she does not suffer drought in her life, associates her with the life-force of rain. This is not symbolic of fertility as such but of a wider view of life, which includes survival. Informants explained that the association would make the girl beloved of people among whom she would live.","Transmission of skills (868)
Puberty and initiation (881)",no
fx10-030,257,153,"There appears to be a period of adolescent sterility among G/wi girls, who do not usually conceive until they are 16 or 17 years old. The uxorilocal phase of marriage, which lasts until the birth of the couple's first child, may be, therefore, as long as 10 years. It is a period of apprenticeship for both spouses; although the girl can handle household tasks by the time she is married, she continues to gather foods and to run her household under the eye of her mother. From the gossip and conversation of the women with whom she and her mother spend the day, she furthers her education in personal matters and those pertaining to the band. The husband, under the tutelage of his father-in-law, perfects his hunting and other subsistence techniques and learns from the older man and his cronies the conduct of band affairs. The husband occasionally hunts with his father-in-law when the band is gathered in one camp and during the time that the extended household is in isolation during winter and early summer. He makes a present of part of every game animal he kills but not birds and small mammals, to his parents-in-law. (Plant foods are not shared unless drought is severe and food is short.) As the relationship between the young husband and his parents-in-law is usually one of affection combined with respect, the parents are able to influence the couple's reactions when conjugal tensions arise. That such tensions seldom develop into serious threats to the safety of the marriage is due partly to parental influence and partly to the fact that the young wife and husband are seldom thrown onto their own unaided resources; only when in the doubtful privacy of their shelter, standing next to that of the parents, are they likely to be alone together. For the rest, their field of interaction includes the whole household, the two couples and the wife's young siblings.","Hunting and trapping (224)
Residence (591)
Household (592)
Family relationships (593)
Parents-in-law and children-in-law (606)
Conception (842)
Transmission of skills (868)",no
fx10-030,258,163,"The socialization and training of the small child are group efforts in which neither parent is especially prominent. Direction is given by the nature of the responses to the child's actions and by encouragement to imitate. The teaching of walking, dancing, and clapping in time are accompanied by physical support and manipulation of the limbs. Group responses include a wide spectrum of expressions of approval and mild to moderate alarm (which is the negative response).","Techniques of socialization (861)
Transmission of skills (868)",no
fx10-030,259,164,"Specific skills are taught by the parents, with appropriate distinction in terms of the sexual division of labor. The skills are carried into the play group and perfected by practice and by further learning from others in the group. An elderly man or woman in the band keeps an eye on the play group while the parents are out gathering and hunting, and the child minder also plays an important part in teaching and training.","Child care (855)
Childhood activities (857)
Transmission of skills (868)",no
fx10-036,260,77,"The child spends all its time with its mother until it is able to walk. She carries it across one hip or across her back in a steenbok-skin sling. There is no regular time for feeding: infants are given the breast whenever they cry and whenever the mother is resting. From the time that the infant is given its name, its process of socialization begins. The mother is pleased if others pay her child attention and play with him. Teaching the child to walk is a group activity, greatly enjoyed by women and older children. Bushmen children do not go through a proper crawling stage, probably because the child is always held standing on its feet when playing with it. Physically they are certainly most precocious and between their sixth or eighth months are taught to walk. This consists of passing the infant from one side to another of a circle of women and children, holding him in an upright position and, at first, gently allowing him to fall forward into the hands of the person opposite in the circle. Later, children are allowed to fall forward onto their hands, but are encouraged to stand up again. The rhythms of the dances are instilled into the children at about the same age by taking their hands and beating time with them. By the time they are able to walk, they are able to keep closely approximate time with the complex rhythms of G/wi dances. Toilet training, if one might term it thus, in the absence of facilities other than the bush itself, is also shared by the women of the band and consists of hastily positioning an empty melon-skin or [Page 78] other suitable receptacle whenever the baby relieves himself, and of then wiping clean his bottom. If the receptacle is too late, the ensuing commotion communicates to the child the need for control. The task of teaching the child to talk is another which is shared by the band. Bushmen babies go through much the same speech development as do other babies, viz. the first sounds pronounced are those produced forward in the mouth, progressing with sounds produced further and further back. The clicks show the same ontogeny, but are mastered much later than are the vowels and the other consonants. Childhood grammar is initially simply a verb/noun juxtapositioning, with the pronouns, genitive prefixes. adverbs, adjectives, correct use of gender and of descriptive prefixes and then tenses following in that order. Correct tones are used from the stage subsequent to that of using only verbs and nouns.","Grammar (193)
Phonology (194)
Dance (535)
Infant care (854)
Development and maturation (856)
Cleanliness training (863)
Transmission of skills (868)",no
fx10-036,261,80,"This consists of gathering round the elder and listening to his or her stories and is intended more as entertainment for the children than anything else, but includes much instruction which is useful to the children. It may take the form of answers to problems which have arisen during the course of play, when the children ask how to deal with situations which have defeated them, or where they want to know how things are done in real life when they are no longer content with the ad interim arrangements of their play. Then the old man carefully explains how a bow should be made, or how an eland should be stalked and where best to shoot it. Or the difficulties of keeping a fire going in high wind may be dealt with by an old woman, or even what to do about a baby's grippe. Otherwise instruction may be contained in stories told by the baby-sitter of incidents in his or her earlier days, sometimes with a moral contained, but always with a wealth of detail which the listening children remember and add to their growing store of knowledge of the desert and their life in it.","Child care (855)
Transmission of skills (868)
Activities of the aged (887)",no
fx10-036,262,80,"From her fifth or sixth years, a girl goes out with her mother and helps her forage for food plants. This is a period of intensive learning, for not only has she to do what amounts to a woman's work in gathering food, but she is exposed to the conversation of the adult women which, [Page 81] when they are away from the men, is far from inhibited. The women do their food gathering as one group, partly for protection and, of more importance, for the pleasure of company and conversation, so the young girl has ample opportunity to hear of all that goes on in everybody's life. and is free to ask what questions she will. After a year or so of this, by the time she is seven or eight years old, she is considered to be ready for marriage. Her mother keeps an eye on her all the time and has a very clear idea of whether her daughter is yet able to fend for herself and her capability as a housekeeper. During this time the girl is virtually an apprentice housewife under the strict eye of her mother who, because her daughter is her assistant in gathering and preparing food and doing all the other household tasks, makes sure that she pulls her weight.","Collecting (222)
Labor and leisure (461)
Regulation of marriage (582)
Family relationships (593)
Transmission of skills (868)",no
fx10-039,263,316,"Boys who are judged to be big enough and mature and determined in their behavior are initiated in autumn or winter in groups of up to ten. The older men take them out into the bush where a special type of hut is built for the occasion. The boys and men remain there for ten days and nights, during which time the boys are taught a secret dance and secret ceremonies. Most of the time, however, is spent in instructing them in hunting and in correct, friendly behavior to one another, to kin and band colleagues, and to strangers. The dances and ceremonies are new information, but the rest is a concise formulation of what they have always been taught. The status of initiates is not altered by the ten days in the bush—they are still only boys or young men and must show by their behavior that they are fit to be considered adults. Individuals are judged by their behavior, as there are no clear-cut grades of status or other categories by which a man may be labeled or a woman stereotyped.","Transmission of cultural norms (867)
Transmission of skills (868)
Transmission of beliefs (869)
Puberty and initiation (881)
Majority (884)",no
