name,publication.date,document.type,avg.fielddate,field.date,coverage.date,source.evaluation,author.identification,document.id
Mikmaq,1978,Essay,,no date,1500-1970,4: Excellent secondary data,"Ethnologist, Social Anthropologist","nj05-009
"
Norther Paiute,1934,Monograph,,1930,1870-1930,5: Excellent primary data,"Ethnologist, Social Anthropologist",nr13-001
Norther Paiute,1950,Monograph,1937,1936-1938,1860-1938,5: Excellent primary data,"Ethnologist, Social Anthropologist",nr13-007
Aranda,1927,Component part(s) monograph,1904,1896-1913,not specified,5: Excellent primary data,Government Official,oi08-001
Aranda,1974,Component part(s) monograph,1934,prior to 1934,not specified,5: Excellent primary data,Unknown,oi08-002
Aranda,1925,Component part(s) monograph,,no date,not specified,5: Excellent primary data,Unknown,oi08-007
Aranda,1929,Journal article ,,no date,not specified,4: Excellent secondary data,"Ethnologist, Social Anthropologist",oi08-019
Aranda,1932,Journal article ,,1929,1950-1956,5: Excellent primary data,Unknown,oi08-021
Aranda,1992,Essay,,no date,ca. 1900-1960,"4: Excellent secondary data
5: Excellent primary data",Artisan,oi08-046
Tiwi,1960,Monograph,1941,1928-1954,1900-1959,4: Excellent secondary data,"Ethnologist, Social Anthropologist",oi20-001
Tiwi,1963,Journal article ,1958,"1954, 1962",1900-1962,5: Excellent primary data,"Ethnologist, Social Anthropologist",oi20-011
Tiwi,1971,Monograph,1956,"1953-1954, and 1962",1914-1962,5: Excellent primary data,"Ethnologist, Social Anthropologist",oi20-014
Siriono,1950,Component part(s) monograph,1940,1940-1941,1940-1941,5: Excellent primary data,"Ethnologist, Social Anthropologist",sf21-001
Ona,1931,Monograph,1921,1919-1923,not specified,"4: Excellent secondary data
5: Excellent primary data","Ethnologist, Social Anthropologist
Missionary, Clergyman",sh04-001
Ona,1928,Component part(s) monograph,1924,1924-1925,3 months in the summer of 1924-1925,"4: Excellent secondary data
5: Excellent primary data","Ethnologist, Social Anthropologist",sh04-003
Ona,1982,Monograph,1969,"1965, 1966, 1967, 1968-1970, 1972-1974, 1976 (p. 3-6)",variable,5: Excellent primary data,"Ethnologist, Social Anthropologist",sh04-005
Yahgan,1937,Component part(s) monograph,1921,1918-1924,1918-1924,5: Excellent primary data,"Ethnologist, Social Anthropologist",sh06-001
Abipon,2010,Essay,,No date,Not specified,4: Excellent secondary data,"Ethnologist, Social Anthropologist",si04-000
Abipon,1922,Monograph,1758,1749-1767,1749-1767,5: Excellent primary data,"Missionary, Clergyman",si04-001
Bororo,1973,Monograph,1966,1965-1967,not specified,5: Excellent primary data,"Ethnologist, Social Anthropologist",sp08-004
Bororo,1942,Component part(s) monograph,1924,ca. 1908- ca. 1940,not specified,5: Excellent primary data,"Missionary, Clergyman",sp08-009
Warao,1959,Essay,,no date,1954,4: Excellent secondary data,"Ethnologist, Social Anthropologist",ss18-003
Warao,1973,Monograph,1968,1966-1971,1966-1971,5: Excellent primary data,"Ethnologist, Social Anthropologist",ss18-009
Warao,1974,Essay,1961,1954-1969,1954-1969,5: Excellent primary data,"Ethnologist, Social Anthropologist",ss18-019
Warao,1976,Essay,1961,1954-1969,1954-1969,5: Excellent primary data,"Ethnologist, Social Anthropologist",ss18-021
Warao,1988,Monograph,,no date,early 1900s-1980s,5: Excellent primary data,"Ethnologist, Social Anthropologist",ss18-042
